package	version	license_file	source_url
ga-serializer	0.1.1	licenses/third_party/packages/ga-serializer/LICENSE	https://github.com/andreagemma/serializer
dask	2026.8.0	licenses/third_party/packages/dask/LICENSE.txt	https://www.dask.org/
ray	2.58.0	licenses/third_party/packages/ray/LICENSE	https://www.ray.io/
joblib	1.6.0	licenses/third_party/packages/joblib/LICENSE.txt	https://joblib.readthedocs.io
pytest	9.1.1	licenses/third_party/packages/pytest/LICENSE	https://docs.pytest.org/en/latest/
pytest-cov	7.1.0	licenses/third_party/packages/pytest-cov/LICENSE	https://github.com/pytest-dev/pytest-cov
build	1.6.0	licenses/third_party/packages/build/LICENSE	https://build.pypa.io
mypy	2.3.1	licenses/third_party/packages/mypy/LICENSE	https://www.mypy-lang.org/
ruff	0.16.6	licenses/third_party/packages/ruff/LICENSE	https://docs.astral.sh/ruff
twine	7.0.0	licenses/third_party/packages/twine/LICENSE	https://twine.readthedocs.io/
